TIMESTAMP,MODULE,FUNCTION,LEVEL,MESSAGE
2022-07-18 09:40:33.240,main_window,initialize_window,INFO,"Initializing main window..."
2022-07-18 09:40:46.454,main_window,read_configs_button_callback,INFO,"
---------------------------------------------------------
Pulling switch configs now...
---------------------------------------------------------"
2022-07-18 09:40:51.062,ping,ping,INFO,"Ping of 10.20.126.113: Host 10.20.126.113 is up!"
2022-07-18 09:40:51.100,open_connection,ssh_autodetect_info,INFO,"Autodetecting model and opening connection for 10.20.126.113"
2022-07-18 09:40:51.111,transport,_log,DEBUG,"starting thread (client mode): 0x16147f70"
2022-07-18 09:40:51.112,transport,_log,DEBUG,"Local version/idstring: SSH-2.0-paramiko_2.11.0"
2022-07-18 09:40:51.115,transport,_log,DEBUG,"Remote version/idstring: SSH-1.99-Cisco-1.25"
2022-07-18 09:40:51.115,transport,_log,INFO,"Connected (version 1.99, client Cisco-1.25)"
2022-07-18 09:40:51.119,transport,_log,DEBUG,"=== Key exchange possibilities ==="
2022-07-18 09:40:51.119,transport,_log,DEBUG,"kex algos: diffie-hellman-group-exchange-sha1, diffie-hellman-group14-sha1"
2022-07-18 09:40:51.119,transport,_log,DEBUG,"server key: ssh-rsa"
2022-07-18 09:40:51.120,transport,_log,DEBUG,"client encrypt: aes128-ctr, aes192-ctr, aes256-ctr"
2022-07-18 09:40:51.120,transport,_log,DEBUG,"server encrypt: aes128-ctr, aes192-ctr, aes256-ctr"
2022-07-18 09:40:51.120,transport,_log,DEBUG,"client mac: hmac-sha2-256, hmac-sha2-512, hmac-sha1, hmac-sha1-96"
2022-07-18 09:40:51.121,transport,_log,DEBUG,"server mac: hmac-sha2-256, hmac-sha2-512, hmac-sha1, hmac-sha1-96"
2022-07-18 09:40:51.121,transport,_log,DEBUG,"client compress: none"
2022-07-18 09:40:51.121,transport,_log,DEBUG,"server compress: none"
2022-07-18 09:40:51.122,transport,_log,DEBUG,"client lang: <none>"
2022-07-18 09:40:51.122,transport,_log,DEBUG,"server lang: <none>"
2022-07-18 09:40:51.122,transport,_log,DEBUG,"kex follows: False"
2022-07-18 09:40:51.122,transport,_log,DEBUG,"=== Key exchange agreements ==="
2022-07-18 09:40:51.123,transport,_log,DEBUG,"Kex: diffie-hellman-group-exchange-sha1"
2022-07-18 09:40:51.123,transport,_log,DEBUG,"HostKey: ssh-rsa"
2022-07-18 09:40:51.123,transport,_log,DEBUG,"Cipher: aes128-ctr"
2022-07-18 09:40:51.125,transport,_log,DEBUG,"MAC: hmac-sha2-256"
2022-07-18 09:40:51.125,transport,_log,DEBUG,"Compression: none"
2022-07-18 09:40:51.125,transport,_log,DEBUG,"=== End of kex handshake ==="
2022-07-18 09:40:51.326,transport,_log,DEBUG,"Got server p (2048 bits)"
2022-07-18 09:40:51.739,transport,_log,DEBUG,"kex engine KexGex specified hash_algo <built-in function openssl_sha1>"
2022-07-18 09:40:51.740,transport,_log,DEBUG,"Switch to new keys ..."
2022-07-18 09:40:51.741,transport,_log,DEBUG,"Adding ssh-rsa host key for 10.20.126.113: b'4437506ecde874f2279a8b6701bac23a'"
2022-07-18 09:40:51.943,transport,_log,DEBUG,"userauth is OK"
2022-07-18 09:40:51.977,transport,_log,INFO,"Authentication (password) successful!"
2022-07-18 09:40:51.980,channel,_log,DEBUG,"[chan 0] Max packet in: 32768 bytes"
2022-07-18 09:40:51.984,channel,_log,DEBUG,"[chan 0] Max packet out: 4096 bytes"
2022-07-18 09:40:51.984,transport,_log,DEBUG,"Secsh channel 0 opened."
2022-07-18 09:40:51.987,channel,_log,DEBUG,"[chan 0] Sesch channel 0 request ok"
2022-07-18 09:40:51.991,channel,_log,DEBUG,"[chan 0] Sesch channel 0 request ok"
2022-07-18 09:40:51.991,open_connection,ssh_autodetect_info,INFO,"Waiting for command prompt..."
2022-07-18 09:40:52.089,open_connection,ssh_autodetect_info,INFO,"Found prompt: KNK-ITConf-Aux#"
2022-07-18 09:40:52.167,configure_window,initialize_window,INFO,"Initializing configuration window..."
2022-07-18 09:40:54.324,configure_window,drop_down_callback,INFO,"Selected device: 10.20.126.113 KNK-ITConf-Aux. Getting data..."
2022-07-18 09:40:54.334,transport,_log,DEBUG,"starting thread (client mode): 0x1332a5b0"
2022-07-18 09:40:54.334,transport,_log,DEBUG,"Local version/idstring: SSH-2.0-paramiko_2.11.0"
2022-07-18 09:40:54.338,transport,_log,DEBUG,"Remote version/idstring: SSH-1.99-Cisco-1.25"
2022-07-18 09:40:54.339,transport,_log,INFO,"Connected (version 1.99, client Cisco-1.25)"
2022-07-18 09:40:54.352,transport,_log,DEBUG,"=== Key exchange possibilities ==="
2022-07-18 09:40:54.352,transport,_log,DEBUG,"kex algos: diffie-hellman-group-exchange-sha1, diffie-hellman-group14-sha1"
2022-07-18 09:40:54.353,transport,_log,DEBUG,"server key: ssh-rsa"
2022-07-18 09:40:54.353,transport,_log,DEBUG,"client encrypt: aes128-ctr, aes192-ctr, aes256-ctr"
2022-07-18 09:40:54.353,transport,_log,DEBUG,"server encrypt: aes128-ctr, aes192-ctr, aes256-ctr"
2022-07-18 09:40:54.353,transport,_log,DEBUG,"client mac: hmac-sha2-256, hmac-sha2-512, hmac-sha1, hmac-sha1-96"
2022-07-18 09:40:54.354,transport,_log,DEBUG,"server mac: hmac-sha2-256, hmac-sha2-512, hmac-sha1, hmac-sha1-96"
2022-07-18 09:40:54.354,transport,_log,DEBUG,"client compress: none"
2022-07-18 09:40:54.354,transport,_log,DEBUG,"server compress: none"
2022-07-18 09:40:54.355,transport,_log,DEBUG,"client lang: <none>"
2022-07-18 09:40:54.355,transport,_log,DEBUG,"server lang: <none>"
2022-07-18 09:40:54.355,transport,_log,DEBUG,"kex follows: False"
2022-07-18 09:40:54.356,transport,_log,DEBUG,"=== Key exchange agreements ==="
2022-07-18 09:40:54.356,transport,_log,DEBUG,"Kex: diffie-hellman-group-exchange-sha1"
2022-07-18 09:40:54.356,transport,_log,DEBUG,"HostKey: ssh-rsa"
2022-07-18 09:40:54.356,transport,_log,DEBUG,"Cipher: aes128-ctr"
2022-07-18 09:40:54.357,transport,_log,DEBUG,"MAC: hmac-sha2-256"
2022-07-18 09:40:54.357,transport,_log,DEBUG,"Compression: none"
2022-07-18 09:40:54.357,transport,_log,DEBUG,"=== End of kex handshake ==="
2022-07-18 09:40:54.362,transport,_log,DEBUG,"Got server p (2048 bits)"
2022-07-18 09:40:54.785,transport,_log,DEBUG,"kex engine KexGex specified hash_algo <built-in function openssl_sha1>"
2022-07-18 09:40:54.786,transport,_log,DEBUG,"Switch to new keys ..."
2022-07-18 09:40:54.787,transport,_log,DEBUG,"Adding ssh-rsa host key for 10.20.126.113: b'4437506ecde874f2279a8b6701bac23a'"
2022-07-18 09:40:54.990,transport,_log,DEBUG,"userauth is OK"
2022-07-18 09:40:55.022,transport,_log,INFO,"Authentication (password) successful!"
2022-07-18 09:40:55.027,channel,_log,DEBUG,"[chan 0] Max packet in: 32768 bytes"
2022-07-18 09:40:55.034,channel,_log,DEBUG,"[chan 0] Max packet out: 4096 bytes"
2022-07-18 09:40:55.034,transport,_log,DEBUG,"Secsh channel 0 opened."
2022-07-18 09:40:55.038,channel,_log,DEBUG,"[chan 0] Sesch channel 0 request ok"
2022-07-18 09:40:55.043,channel,_log,DEBUG,"[chan 0] Sesch channel 0 request ok"
